UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Timestamp,Shift,Downtime_min,Quantity_Produced,Ideal_Production_per_Hour
55,L47234,L,298.7,309.0,1691,30.1,1.0176068720400244,0,0,0,0,0,0,2025-01-03 09:00:00,1,0,46,50
56,L47235,L,298.8,309.1,1512,40.7,2.314008747015729,0,0,0,0,0,0,2025-01-03 10:00:00,1,0,50,50
57,L47236,L,298.8,309.1,1477,42.4,3.1770916542829797,0,0,0,0,0,0,2025-01-03 11:00:00,1,0,55,50
58,L47237,L,298.8,309.1,1513,40.3,4.231573338375086,0,0,0,0,0,0,2025-01-03 12:00:00,1,0,50,50
59,M14918,M,298.8,309.0,1661,29.5,5.283248037453966,0,0,0,0,0,0,2025-01-03 13:00:00,1,0,50,50
60,L47239,L,298.8,309.1,1378,54.4,6.381484701120796,0,0,0,0,0,0,2025-01-03 14:00:00,2,0,45,50
61,L47240,L,298.8,309.1,1393,52.6,7.10756101706894,0,0,0,0,0,0,2025-01-03 15:00:00,2,0,47,50
62,M14921,M,298.8,309.0,1592,38.2,8.493900431851301,0,0,0,0,0,0,2025-01-03 16:00:00,2,0,47,50
63,L47242,L,298.8,309.0,1829,22.9,10.060624730508328,0,0,0,0,0,0,2025-01-03 17:00:00,2,0,48,50
64,M14923,M,298.9,309.0,1812,25.9,11.528383916122504,0,0,0,0,0,0,2025-01-03 18:00:00,2,0,45,50
65,L47244,L,299.0,309.1,1523,38.6,12.624741947753787,0,0,0,0,0,0,2025-01-03 19:00:00,2,0,52,50
66,L47245,L,299.0,309.1,1394,45.1,13.331023363972777,0,0,0,0,0,0,2025-01-03 20:00:00,2,0,53,50
67,M14926,M,298.9,308.9,1679,28.7,14.144630795079348,0,0,0,0,0,0,2025-01-03 21:00:00,2,0,54,50
68,H29481,H,298.8,308.9,1466,44.1,15.03154323665208,0,0,0,0,0,0,2025-01-03 22:00:00,3,0,54,50
69,L47248,L,298.8,308.9,1527,32.4,17.004795751646235,0,0,0,0,0,0,2025-01-03 23:00:00,3,0,45,50
70,L47249,L,298.9,309.0,1410,65.7,17.86757418799691,0,0,0,1,1,0,2025-01-04 00:00:00,3,0,49,50
71,M14930,M,298.9,309.0,1924,22.6,19.718201273741908,0,0,0,0,0,0,2025-01-04 01:00:00,3,0,53,50
72,L47251,L,298.9,309.1,1452,45.5,20.63650830263018,0,0,0,0,0,0,2025-01-04 03:00:00,3,0,47,50
73,L47252,L,298.9,309.1,1369,44.4,22.42099474044732,0,0,0,0,0,0,2025-01-04 04:00:00,3,0,45,50
74,L47253,L,299.0,309.1,1592,35.0,23.88404220967875,0,0,0,0,0,0,2025-01-04 05:00:00,3,0,52,50
75,L47254,L,298.9,309.0,1601,32.3,25.562053186349665,0,0,0,0,0,0,2025-01-04 06:00:00,1,0,47,50
76,L47255,L,298.8,308.9,1379,46.7,26.62047733619228,0,0,0,0,0,0,2025-01-04 07:00:00,1,0,53,50
77,L47256,L,298.8,308.9,1461,47.9,27.128069711961608,0,0,0,0,0,0,2025-01-04 08:00:00,1,0,46,50
78,L47257,L,298.8,308.9,1455,41.3,28.356490342340948,0,1,0,0,0,0,2025-01-04 09:00:00,1,0,53,50
79,L47258,L,298.8,308.9,1398,51.5,0.0,1,0,0,0,0,0,2025-01-04 10:00:00,1,60,5,50
80,L47259,L,298.8,308.9,1402,37.9,0.9880995472389016,0,0,0,0,0,0,2025-01-04 11:00:00,1,0,52,50
81,H29494,H,298.8,308.8,1445,49.9,2.7619346629801687,0,0,0,0,0,0,2025-01-04 12:00:00,1,0,45,50
82,L47261,L,298.9,308.9,1450,47.5,4.075745008812517,0,0,0,0,0,0,2025-01-04 13:00:00,1,0,50,50
83,L47262,L,298.9,308.9,1453,40.8,4.9735485603351055,0,0,0,0,0,0,2025-01-04 14:00:00,2,0,50,50
84,L47263,L,299.0,309.0,1469,40.1,6.941887847747619,0,0,0,0,0,0,2025-01-04 15:00:00,2,0,52,50
85,L47264,L,298.9,308.9,1422,47.6,8.388595786743513,0,0,0,0,0,0,2025-01-04 16:00:00,2,0,45,50
86,M14945,M,299.0,309.0,1804,26.8,9.753951613683052,0,0,0,0,0,0,2025-01-04 17:00:00,2,0,49,50
87,H29500,H,299.0,309.0,1436,43.9,10.599229516045385,0,0,0,0,0,0,2025-01-04 18:00:00,2,0,48,50
88,L47267,L,299.0,309.0,1544,31.8,11.135703465692567,0,0,0,0,0,0,2025-01-04 19:00:00,2,0,45,50
89,M14948,M,299.0,309.0,1419,45.2,13.127529231888579,0,0,0,0,0,0,2025-01-04 20:00:00,2,0,49,50
90,M14949,M,298.9,308.9,1487,39.5,14.952770265287967,0,0,0,0,0,0,2025-01-04 21:00:00,2,0,49,50
91,L47270,L,298.9,308.9,1753,25.8,16.845248109169553,0,0,0,0,0,0,2025-01-04 22:00:00,3,0,49,50
92,L47271,L,298.9,308.9,1830,24.9,18.20368681292581,0,0,0,0,0,0,2025-01-04 23:00:00,3,0,48,50
93,M14952,M,298.9,308.9,1727,27.1,19.14536015103019,0,0,0,0,0,0,2025-01-06 00:00:00,3,0,51,50
94,L47273,L,299.1,309.0,1450,43.0,20.048072436365423,0,0,0,0,0,0,2025-01-06 01:00:00,3,0,46,50
95,L47274,L,299.0,308.9,1622,31.9,21.38327433005295,0,0,0,0,0,0,2025-01-06 03:00:00,3,0,54,50
96,M14955,M,299.0,309.0,1351,52.2,0.0,1,0,0,0,0,0,2025-01-06 04:00:00,3,60,1,50
97,M14956,M,299.0,309.0,1575,35.3,1.4225108400487545,0,0,0,0,0,0,2025-01-06 05:00:00,3,0,46,50
98,M14957,M,298.9,308.9,1750,29.9,2.3037563136533628,0,0,0,0,0,0,2025-01-06 06:00:00,1,0,54,50
99,L47278,L,298.9,308.8,1529,32.7,3.9149092402846692,0,0,0,0,0,0,2025-01-06 07:00:00,1,0,55,50
100,L47279,L,298.8,308.8,1523,44.4,5.478275735649847,0,0,0,0,0,0,2025-01-06 08:00:00,1,0,54,50
101,L47280,L,298.8,308.9,1852,25.0,7.192317468867618,0,0,0,0,0,0,2025-01-06 09:00:00,1,0,53,50
102,L47281,L,298.8,308.8,1991,20.7,8.609588035166139,0,0,0,0,0,0,2025-01-06 10:00:00,1,0,51,50
103,L47282,L,298.8,308.8,1555,40.6,9.861862477196938,0,0,0,0,0,0,2025-01-06 11:00:00,1,0,45,50
104,M14963,M,298.8,308.8,1441,40.5,10.46827385269683,0,0,0,0,0,0,2025-01-06 12:00:00,1,0,47,50
105,L47284,L,298.8,308.7,1450,43.4,11.475266587974135,0,0,0,0,0,0,2025-01-06 13:00:00,1,0,46,50
106,L47285,L,298.8,308.7,1591,31.1,12.632977772501265,0,0,0,0,0,0,2025-01-06 14:00:00,2,0,47,50
107,L47286,L,298.8,308.7,1445,48.5,13.831374799699955,0,0,0,0,0,0,2025-01-06 15:00:00,2,0,50,50
108,M14967,M,298.8,308.8,1497,46.8,0.0,1,0,0,0,0,0,2025-01-06 16:00:00,2,60,3,50
109,H29522,H,298.9,308.8,1621,32.7,0.5582521016441349,0,0,0,0,0,0,2025-01-06 17:00:00,2,0,55,50
110,L47289,L,298.9,308.7,1572,34.1,1.248842870621962,0,0,0,0,0,0,2025-01-06 18:00:00,2,0,49,50
111,L47290,L,298.8,308.6,1872,22.5,2.156157244351575,0,0,0,0,0,0,2025-01-06 19:00:00,2,0,51,50
112,H29525,H,298.7,308.6,1499,43.5,2.7841784418422266,0,0,0,0,0,0,2025-01-06 20:00:00,2,0,48,50
113,M14972,M,298.8,308.7,1498,39.5,3.9012092994272445,0,0,0,0,0,0,2025-01-06 21:00:00,2,0,52,50
114,M14973,M,298.8,308.6,1486,41.9,5.490346300011237,0,0,0,0,0,0,2025-01-06 22:00:00,3,0,54,50
115,L47294,L,298.8,308.6,1680,29.4,6.474781009423106,0,0,0,0,0,0,2025-01-06 23:00:00,3,0,47,50
116,L47295,L,298.8,308.6,1431,45.7,7.63323814048156,0,0,0,0,0,0,2025-01-07 00:00:00,3,0,49,50
117,L47296,L,298.9,308.7,1564,34.1,8.409738651978616,0,0,0,0,0,0,2025-01-07 01:00:00,3,0,53,50
118,L47297,L,298.8,308.6,1599,33.0,9.942488503126665,0,0,0,0,0,0,2025-01-07 03:00:00,3,0,54,50
119,M14978,M,298.8,308.6,1707,28.1,10.677144067133295,0,0,0,0,0,0,2025-01-07 04:00:00,3,0,50,50
120,L47299,L,298.7,308.5,1467,40.7,12.249037951183388,0,0,0,0,0,0,2025-01-07 05:00:00,3,0,49,50
121,L47300,L,298.9,308.7,1433,44.7,13.706443841948413,0,0,0,0,0,0,2025-01-07 06:00:00,1,0,49,50
122,L47301,L,298.9,308.7,1558,41.2,15.124024961299941,0,0,0,0,0,0,2025-01-07 07:00:00,1,0,54,50
123,L47302,L,299.0,308.8,1310,50.7,16.157983979276835,0,0,0,0,0,0,2025-01-07 08:00:00,1,0,53,50
124,L47303,L,298.9,308.7,1546,43.4,17.170803479351438,0,0,0,0,0,0,2025-01-07 09:00:00,1,0,45,50
125,L47304,L,298.9,308.7,1727,29.4,18.13792344343838,0,0,0,0,0,0,2025-01-07 10:00:00,1,0,49,50
126,L47305,L,298.9,308.6,1560,32.2,19.349184187069365,0,0,0,0,0,0,2025-01-07 11:00:00,1,0,49,50
127,L47306,L,299.0,308.6,1329,60.5,20.559391843240213,0,0,0,0,0,0,2025-01-07 12:00:00,1,0,49,50
128,L47307,L,298.9,308.6,1413,46.5,21.657148944836273,0,0,0,0,0,0,2025-01-07 13:00:00,1,0,49,50
129,L47308,L,299.0,308.6,1587,38.6,23.487169525783344,0,0,0,0,0,0,2025-01-07 14:00:00,2,0,54,50
130,L47309,L,298.9,308.5,1559,34.3,24.9259593993547,0,0,0,0,0,0,2025-01-07 15:00:00,2,0,45,50
131,L47310,L,298.8,308.4,1473,41.1,26.235025571954793,0,0,0,0,0,0,2025-01-07 16:00:00,2,0,52,50
132,L47311,L,298.8,308.4,1737,27.7,28.150862978795928,0,0,0,0,0,0,2025-01-07 17:00:00,2,0,55,50
133,M14992,M,298.7,308.4,1441,43.2,29.852286920819527,0,0,0,0,0,0,2025-01-07 18:00:00,2,0,47,50
134,M14993,M,298.7,308.4,1430,49.6,31.317219248483056,0,0,0,0,0,0,2025-01-07 19:00:00,2,0,47,50
135,L47314,L,298.8,308.4,1369,53.0,33.04817846209899,0,0,0,0,0,0,2025-01-07 20:00:00,2,0,45,50
136,M14995,M,298.8,308.5,1711,28.5,34.98996430783486,0,0,0,0,0,0,2025-01-07 21:00:00,2,0,46,50
137,H29550,H,298.7,308.5,1420,45.7,35.54840900630021,0,0,0,0,0,0,2025-01-07 22:00:00,3,0,51,50
138,L47317,L,298.7,308.6,1297,55.3,36.15519197899056,0,0,0,0,0,0,2025-01-07 23:00:00,3,0,54,50
139,H29552,H,298.8,308.6,1449,49.4,37.677612482449746,0,0,0,0,0,0,2025-01-08 00:00:00,3,0,47,50
140,L47319,L,298.8,308.6,1268,55.8,0.0,1,0,0,0,0,0,2025-01-08 01:00:00,3,60,4,50
141,L47320,L,298.8,308.6,1511,36.1,1.022504906679796,0,0,0,0,0,0,2025-01-08 03:00:00,3,0,52,50
142,L47321,L,298.7,308.5,1544,35.2,2.6251114723856244,0,0,0,0,0,0,2025-01-08 04:00:00,3,0,53,50
143,M15002,M,298.6,308.4,1778,28.2,3.9470692972577552,0,0,0,0,0,0,2025-01-08 05:00:00,3,0,52,50
144,H29557,H,298.6,308.4,1407,50.5,5.657321406158651,0,0,0,0,0,0,2025-01-08 06:00:00,1,0,48,50
145,M15004,M,298.6,308.4,1391,42.4,6.715348534847826,0,0,0,0,0,0,2025-01-08 07:00:00,1,0,52,50
146,L47325,L,298.5,308.4,1513,33.6,8.516023445662409,0,0,0,0,0,0,2025-01-08 08:00:00,1,0,45,50
147,H29560,H,298.5,308.4,1612,36.1,10.035790615512777,0,0,0,0,0,0,2025-01-08 09:00:00,1,0,47,50
148,L47327,L,298.4,308.4,1515,40.1,10.690476418766677,0,0,0,0,0,0,2025-01-08 10:00:00,1,0,48,50
149,M15008,M,298.3,308.3,1379,48.0,12.43016261792829,0,0,0,0,0,0,2025-01-08 11:00:00,1,0,55,50
150,L47329,L,298.4,308.3,1473,39.9,13.080139948671084,0,0,0,0,0,0,2025-01-08 12:00:00,1,0,53,50
151,L47330,L,298.4,308.3,1422,42.7,14.850854664814468,0,0,0,0,0,0,2025-01-08 13:00:00,1,0,48,50
152,M15011,M,298.4,308.2,1463,37.6,16.211011496999397,0,0,0,0,0,0,2025-01-08 14:00:00,2,0,49,50
153,M15012,M,298.4,308.2,1584,41.0,16.848567717887118,0,0,0,0,0,0,2025-01-08 15:00:00,2,0,48,50
154,L47333,L,298.4,308.2,1850,27.0,18.357345402002675,0,0,0,0,0,0,2025-01-08 16:00:00,2,0,51,50
155,L47334,L,298.4,308.2,1528,36.2,20.02928947770948,0,0,0,0,0,0,2025-01-08 17:00:00,2,0,49,50
156,H29569,H,298.4,308.2,1987,19.8,0.0,1,0,0,0,0,0,2025-01-08 18:00:00,2,60,6,50
157,M15016,M,298.4,308.1,1495,46.0,0.5838067320160251,0,0,0,0,0,0,2025-01-08 19:00:00,2,0,55,50
158,H29571,H,298.4,308.2,1478,43.5,2.142553957834067,0,0,0,0,0,0,2025-01-08 20:00:00,2,0,53,50
159,M15018,M,298.4,308.2,1499,40.0,3.7848199054102754,0,0,0,0,0,0,2025-01-08 21:00:00,2,0,50,50
160,L47339,L,298.4,308.2,1471,47.0,4.410980114582771,0,0,0,0,0,0,2025-01-08 22:00:00,3,0,54,50
161,L47340,L,298.4,308.2,1282,60.7,5.505957517514149,0,0,0,0,1,0,2025-01-08 23:00:00,3,0,46,50
162,L47341,L,298.3,308.1,1412,52.3,6.127980688476999,0,0,0,0,1,0,2025-01-09 00:00:00,3,0,47,50
163,L47342,L,298.3,308.1,1586,35.5,7.499938814317172,0,0,0,0,0,0,2025-01-09 01:00:00,3,0,50,50
164,M15023,M,298.4,308.2,1468,43.8,9.219138165203425,0,0,0,0,0,0,2025-01-09 03:00:00,3,0,53,50
165,M15024,M,298.5,308.3,1440,43.6,10.606971273435352,0,0,0,0,0,0,2025-01-09 04:00:00,3,0,47,50
166,L47345,L,298.5,308.4,1733,26.0,12.272691647326507,0,0,0,0,0,0,2025-01-09 05:00:00,3,0,55,50
167,H29580,H,298.4,308.2,1612,32.6,13.14577787897194,0,0,0,0,0,0,2025-01-09 06:00:00,1,0,47,50
168,H29581,H,298.4,308.3,1458,42.9,14.026301139781648,0,0,0,0,0,0,2025-01-09 07:00:00,1,0,54,50
169,L47348,L,298.4,308.3,1433,62.3,15.63776193114765,0,0,0,1,0,0,2025-01-09 08:00:00,1,0,53,50
170,L47349,L,298.4,308.3,1318,59.1,17.254079416562597,0,0,0,0,0,0,2025-01-09 09:00:00,1,0,53,50
171,M15030,M,298.4,308.2,1610,35.0,18.316385285848153,0,0,0,0,0,0,2025-01-09 10:00:00,1,0,52,50
172,L47351,L,298.2,308.1,1462,50.8,19.608940467793968,0,0,0,0,0,0,2025-01-09 11:00:00,1,0,54,50
173,M15032,M,298.1,308.0,1924,20.8,20.12717217982869,0,0,0,0,0,0,2025-01-09 12:00:00,1,0,49,50
174,M15033,M,298.2,308.0,1591,33.7,20.69227335477595,0,0,0,0,0,0,2025-01-09 13:00:00,1,0,49,50
175,L47354,L,298.2,308.1,1306,58.3,21.57175860675981,0,0,0,0,0,0,2025-01-09 14:00:00,2,0,53,50
176,L47355,L,298.2,308.1,1382,43.5,22.856405373015036,0,0,0,0,0,0,2025-01-09 15:00:00,2,0,45,50
177,L47356,L,298.2,308.1,1618,34.7,24.297742493141133,0,0,0,0,0,0,2025-01-09 16:00:00,2,0,51,50
178,L47357,L,298.2,308.2,1988,21.4,24.86591206365332,0,0,0,0,0,0,2025-01-09 17:00:00,2,0,52,50
179,L47358,L,298.2,308.2,1436,50.2,25.957694761565513,0,0,0,0,0,0,2025-01-09 18:00:00,2,0,49,50
180,L47359,L,298.2,308.3,1304,49.8,26.873766536037213,0,0,0,0,0,0,2025-01-09 19:00:00,2,0,54,50
181,L47360,L,298.2,308.3,1475,49.9,27.95616911202202,0,0,0,0,0,0,2025-01-09 20:00:00,2,0,49,50
182,H29595,H,298.2,308.3,1824,24.2,29.91776132352127,0,0,0,0,0,0,2025-01-09 21:00:00,2,0,50,50
183,M15042,M,298.1,308.2,1342,48.1,30.466235250185743,0,0,0,0,0,0,2025-01-09 22:00:00,3,0,49,50
184,L47363,L,298.1,308.2,1485,40.7,32.18692777974616,0,0,0,0,0,0,2025-01-09 23:00:00,3,0,47,50
185,L47364,L,298.2,308.2,1667,30.6,33.92073364413092,0,0,0,0,0,0,2025-01-10 00:00:00,3,0,49,50
186,L47365,L,298.2,308.2,1446,38.2,35.340856438034606,0,0,0,0,0,0,2025-01-10 01:00:00,3,0,52,50
187,L47366,L,298.1,308.3,1301,56.0,37.1558486669233,0,0,0,0,0,0,2025-01-10 03:00:00,3,0,49,50
188,L47367,L,298.2,308.4,1379,43.1,37.69539912866917,0,0,0,0,0,0,2025-01-10 04:00:00,3,0,45,50
189,L47368,L,298.3,308.5,1606,33.6,38.915954251468705,0,0,0,0,0,0,2025-01-10 05:00:00,3,0,55,50
190,M15049,M,298.3,308.4,1539,43.4,40.30715032449691,0,0,0,0,0,0,2025-01-10 06:00:00,1,0,50,50
191,L47370,L,298.2,308.4,1477,49.9,42.050896655556684,0,0,0,0,0,0,2025-01-10 07:00:00,1,0,45,50
192,L47371,L,298.2,308.4,1666,34.6,43.25393639524914,0,0,0,0,0,0,2025-01-10 08:00:00,1,0,45,50
193,H29606,H,298.2,308.4,1398,51.8,0.0,1,0,0,0,0,0,2025-01-10 09:00:00,1,60,3,50
194,H29607,H,298.2,308.4,1678,34.6,1.7193515136951163,0,0,0,0,0,0,2025-01-10 10:00:00,1,0,50,50
195,M15054,M,298.2,308.5,2678,10.7,3.5891001420815805,0,0,0,1,0,0,2025-01-10 11:00:00,1,0,49,50
196,L47375,L,298.3,308.5,1453,42.9,5.506248736905222,0,0,0,0,0,0,2025-01-10 12:00:00,1,0,45,50
197,H29610,H,298.3,308.6,1432,49.5,6.36787598539967,0,0,0,0,0,0,2025-01-10 13:00:00,1,0,45,50
198,M15057,M,298.4,308.6,1527,40.9,8.298952526287753,0,0,0,0,0,0,2025-01-10 14:00:00,2,0,45,50
199,L47378,L,298.4,308.7,1588,35.0,9.806503552896539,0,0,0,0,0,0,2025-01-10 15:00:00,2,0,52,50
200,L47379,L,298.4,308.6,1433,47.1,10.33978066594199,0,0,0,0,0,0,2025-01-10 16:00:00,2,0,50,50
201,L47380,L,298.4,308.6,1609,35.0,11.99825825354545,0,0,0,0,0,0,2025-01-10 17:00:00,2,0,45,50
202,L47381,L,298.3,308.5,1575,41.2,13.326118511707177,0,0,0,0,0,0,2025-01-10 18:00:00,2,0,55,50
203,M15062,M,298.4,308.5,1636,35.7,14.431342811025772,0,0,0,0,0,0,2025-01-10 19:00:00,2,0,51,50
204,L47383,L,298.4,308.5,1490,37.9,16.0640486945362,0,0,0,0,0,0,2025-01-10 20:00:00,2,0,46,50
205,L47384,L,298.4,308.5,1741,32.8,17.771615695815242,0,0,0,0,0,0,2025-01-10 21:00:00,2,0,46,50
206,M15065,M,298.5,308.6,1344,53.0,18.797497034025138,0,0,0,0,0,0,2025-01-10 22:00:00,3,0,55,50
207,L47386,L,298.5,308.7,1609,35.3,19.434000170602133,0,0,0,0,0,0,2025-01-10 23:00:00,3,0,53,50
208,M15067,M,298.4,308.7,1421,60.7,20.70498440434185,0,0,0,1,0,0,2025-01-11 00:00:00,3,0,51,50
209,L47388,L,298.4,308.6,1591,36.7,21.99038781836437,0,0,0,0,0,0,2025-01-11 01:00:00,3,0,48,50
210,L47389,L,298.4,308.6,1477,44.0,23.17940803028363,0,0,0,0,0,0,2025-01-11 03:00:00,3,0,45,50
211,L47390,L,298.4,308.7,1523,36.1,24.066774612732065,0,0,0,0,0,0,2025-01-11 04:00:00,3,0,46,50
212,L47391,L,298.5,308.7,1575,33.9,25.497983139365203,0,0,0,0,0,0,2025-01-11 05:00:00,3,0,55,50
213,H29626,H,298.4,308.7,1344,52.9,26.867458041072812,0,0,0,0,0,0,2025-01-11 06:00:00,1,0,53,50
214,L47393,L,298.4,308.7,1386,44.9,28.05763677954817,0,0,0,0,0,0,2025-01-11 07:00:00,1,0,55,50
215,M15074,M,298.3,308.6,1589,37.1,28.765877538522282,0,0,0,0,0,0,2025-01-11 08:00:00,1,0,52,50
